iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
ARG,South America,Argentina,2020-03-04,1.0,1.0,0.0,0.0,0.022000000000000002,0.022000000000000002,0.0,0.0,,,,,,,,11.11,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-06,2.0,1.0,0.0,0.0,0.044000000000000004,0.022000000000000002,0.0,0.0,,,,,,,,11.11,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-07,8.0,6.0,0.0,0.0,0.177,0.133,0.0,0.0,,,,,,,,11.11,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-08,9.0,1.0,1.0,1.0,0.19899999999999998,0.022000000000000002,0.022000000000000002,0.022000000000000002,,,,,,,,11.11,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-09,12.0,3.0,1.0,0.0,0.266,0.066,0.022000000000000002,0.0,,,,,,,,11.11,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-11,19.0,7.0,1.0,0.0,0.42,0.155,0.022000000000000002,0.0,,,,,,,,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-13,31.0,12.0,1.0,0.0,0.6859999999999999,0.266,0.022000000000000002,0.0,,,,,,,,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-14,34.0,3.0,2.0,1.0,0.752,0.066,0.044000000000000004,0.022000000000000002,,,,,,,,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-15,45.0,11.0,2.0,0.0,0.996,0.243,0.044000000000000004,0.0,,,,,,,,25.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-16,56.0,11.0,2.0,0.0,1.239,0.243,0.044000000000000004,0.0,,,,,,,,41.67,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-17,65.0,9.0,2.0,0.0,1.4380000000000002,0.19899999999999998,0.044000000000000004,0.0,,,,,,,,41.67,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-18,79.0,14.0,2.0,0.0,1.7480000000000002,0.31,0.044000000000000004,0.0,,,,,,,,41.67,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-19,97.0,18.0,2.0,0.0,2.146,0.39799999999999996,0.044000000000000004,0.0,,,,,,,,75.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-20,128.0,31.0,3.0,1.0,2.832,0.6859999999999999,0.066,0.022000000000000002,,,,,,,,88.89,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-21,158.0,30.0,3.0,0.0,3.4960000000000004,0.664,0.066,0.0,,,,,,,,88.89,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-22,225.0,67.0,4.0,1.0,4.978,1.482,0.08900000000000001,0.022000000000000002,,,,,,,,88.89,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-23,266.0,41.0,4.0,0.0,5.886,0.907,0.08900000000000001,0.0,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-24,301.0,35.0,4.0,0.0,6.66,0.774,0.08900000000000001,0.0,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-25,387.0,86.0,6.0,2.0,8.562999999999999,1.903,0.133,0.044000000000000004,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-26,502.0,115.0,8.0,2.0,11.107000000000001,2.544,0.177,0.044000000000000004,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-27,589.0,87.0,12.0,4.0,13.032,1.925,0.266,0.08900000000000001,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-28,690.0,101.0,17.0,5.0,15.267000000000001,2.235,0.376,0.111,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-29,745.0,55.0,19.0,2.0,16.484,1.217,0.42,0.044000000000000004,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-30,820.0,75.0,20.0,1.0,18.143,1.659,0.44299999999999995,0.022000000000000002,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-03-31,966.0,146.0,24.0,4.0,21.374000000000002,3.23,0.531,0.08900000000000001,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-04-01,966.0,0.0,24.0,0.0,21.374000000000002,0.0,0.531,0.0,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-04-02,1133.0,167.0,31.0,7.0,25.069000000000003,3.695,0.6859999999999999,0.155,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-04-03,1133.0,0.0,34.0,3.0,25.069000000000003,0.0,0.752,0.066,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-04-04,1265.0,132.0,37.0,3.0,27.989,2.9210000000000003,0.8190000000000001,0.066,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-04-05,1451.0,186.0,43.0,6.0,32.105,4.115,0.951,0.133,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-04-06,1554.0,103.0,46.0,3.0,34.384,2.279,1.018,0.066,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
ARG,South America,Argentina,2020-04-07,1628.0,74.0,53.0,7.0,36.021,1.6369999999999998,1.173,0.155,,,,,,,,100.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
